Date,Team_A,Score_A,Score_B,Team_B,Winner
13-08-2022,Lecce,1,2,Inter,Inter
20-08-2022,Inter,3,0,Spezia,Inter
26-08-2022,Lazio,3,1,Inter,Lazio
30-08-2022,Inter,3,1,Cremonese,Inter
03-09-2022,Milan,3,2,Inter,Milan
10-09-2022,Inter,1,0,Torino,Inter
18-09-2022,Udinese,3,1,Inter,Udinese
01-10-2022,Inter,1,2,Roma,Roma
08-10-2022,Sassuolo,1,2,Inter,Inter
16-10-2022,Inter,2,0,Salernitana,Inter
22-10-2022,Fiorentina,3,4,Inter,Inter
29-10-2022,Inter,3,0,Sampdoria,Inter
06-11-2022,Juventus,2,0,Inter,Juventus
09-11-2022,Inter,6,1,Bologna,Inter
13-11-2022,Atalanta,2,3,Inter,Inter
04-01-2023,Inter,1,0,Napoli,Inter
07-01-2023,Monza,2,2,Inter,Draw
14-01-2023,Inter,1,0,Verona,Inter
23-01-2023,Inter,0,1,Empoli,Empoli
28-01-2023,Cremonese,1,2,Inter,Inter
05-02-2023,Inter,1,0,Milan,Inter
13-02-2023,Sampdoria,0,0,Inter,Draw
18-02-2023,Inter,3,1,Udinese,Inter
26-02-2023,Bologna,1,0,Inter,Bologna
05-03-2023,Inter,2,0,Lecce,Inter
10-03-2023,Spezia,2,1,Inter,Spezia
19-03-2023,Inter,0,1,Juventus,Juventus
01-04-2023,Inter,0,1,Fiorentina,Fiorentina
07-04-2023,Salernitana,1,1,Inter,Draw
15-04-2023,Inter,0,1,Monza,Monza
23-04-2023,Empoli,0,3,Inter,Inter
30-04-2023,Inter,3,1,Lazio,Inter
03-05-2023,Verona,0,6,Inter,Inter
06-05-2023,Roma,0,2,Inter,Inter
13-05-2023,Inter,4,2,Sassuolo,Inter
21-05-2023,Napoli,3,1,Inter,Napoli
27-05-2023,Inter,3,2,Atalanta,Inter
03-06-2023,Torino,0,1,Inter,Inter
15-08-2022,Juventus,3,0,Sassuolo,Juventus
22-08-2022,Sampdoria,0,0,Juventus,Draw
27-08-2022,Juventus,1,1,Roma,Draw
31-08-2022,Juventus,2,0,Spezia,Juventus
03-09-2022,Fiorentina,1,1,Juventus,Draw
11-09-2022,Juventus,2,2,Salernitana,Draw
18-09-2022,Monza,1,0,Juventus,Monza
02-10-2022,Juventus,3,0,Bologna,Juventus
08-10-2022,Milan,2,0,Juventus,Milan
15-10-2022,Torino,0,1,Juventus,Juventus
21-10-2022,Juventus,4,0,Empoli,Juventus
29-10-2022,Lecce,0,1,Juventus,Juventus
06-11-2022,Juventus,2,0,Inter,Juventus
